Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.22,-.08,-.15,-.08,-.20,-.16,-.08,-.13,-.22,-.20,-.16,-.15,***,***,-.10,-.15,-.18
1881,-.18,-.12,.05,.07,.08,-.17,.02,-.02,-.14,-.20,-.17,-.05,-.07,-.08,-.15,.07,-.06,-.17
1882,.18,.15,.06,-.14,-.12,-.21,-.15,-.06,-.13,-.22,-.15,-.35,-.10,-.07,.09,-.07,-.14,-.17
1883,-.28,-.35,-.11,-.17,-.17,-.06,-.06,-.13,-.21,-.11,-.23,-.10,-.17,-.19,-.33,-.15,-.08,-.18
1884,-.12,-.07,-.36,-.39,-.33,-.34,-.32,-.27,-.26,-.24,-.32,-.30,-.27,-.26,-.10,-.36,-.31,-.27
1885,-.57,-.32,-.25,-.41,-.44,-.42,-.33,-.30,-.28,-.23,-.23,-.09,-.32,-.34,-.40,-.37,-.35,-.24
1886,-.43,-.50,-.42,-.27,-.23,-.34,-.17,-.30,-.23,-.27,-.26,-.24,-.31,-.29,-.34,-.31,-.27,-.25
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.25,-.32,-.35,-.35,-.50,-.33,-.28,-.28
1888,-.33,-.35,-.41,-.20,-.21,-.16,-.10,-.15,-.11,.02,.04,-.03,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.17,.07,.10,.00,-.09,-.07,-.19,-.23,-.25,-.32,-.28,-.10,-.08,.02,.06,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.38,-.24,-.27,-.38,-.36,-.24,-.42,-.30,-.34,-.34,-.37,-.35,-.30,-.34
1891,-.33,-.46,-.17,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.30,-.04,-.22,-.24,-.36,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.41,-.37,-.27,-.24,-.14,-.32,-.27,-.23
1893,-.80,-.56,-.22,-.26,-.33,-.25,-.13,-.24,-.21,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.51,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.29,-.30,-.37,-.32,-.28,-.25
1895,-.40,-.42,-.32,-.21,-.26,-.20,-.16,-.16,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.26,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.06,.07,-.04,-.04,-.11,-.11,-.15,-.23,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.19,-.10,-.09,-.11,-.05,-.07,-.12
1898,-.01,-.29,-.51,-.30,-.30,-.19,-.21,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.22,-.31,-.16,-.08,-.05,-.04,.13,-.26,-.17,-.17,-.26,-.26,-.18,.01
1900,-.35,-.05,.00,-.08,-.09,-.09,-.13,-.09,-.05,.10,-.06,-.07,-.08,-.10,-.22,-.06,-.10,-.01
1901,-.21,-.11,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.17,-.27,-.15,-.14,-.13,-.04,-.15,-.23
1902,-.17,-.06,-.28,-.28,-.32,-.30,-.28,-.29,-.29,-.28,-.35,-.41,-.28,-.26,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.40,-.39,-.42,-.35,-.45,-.49,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.40,-.46
1904,-.63,-.57,-.48,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.32,-.46,-.48,-.57,-.50,-.49,-.36
1905,-.34,-.58,-.21,-.33,-.28,-.28,-.26,-.20,-.18,-.24,-.06,-.12,-.26,-.27,-.41,-.27,-.25,-.16
1906,-.27,-.29,-.18,-.04,-.25,-.19,-.22,-.19,-.28,-.19,-.37,-.14,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.42,-.50,-.27,-.36,-.46,-.41,-.34,-.33,-.34,-.22,-.45,-.46,-.38,-.35,-.36,-.36,-.36,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.45,-.35,-.43,-.51,-.48,-.42,-.42,-.40,-.45,-.39,-.43
1909,-.72,-.45,-.53,-.58,-.54,-.51,-.44,-.33,-.38,-.39,-.31,-.56,-.48,-.47,-.55,-.55,-.43,-.36
1910,-.41,-.40,-.50,-.41,-.33,-.38,-.33,-.36,-.38,-.40,-.54,-.66,-.43,-.42,-.46,-.42,-.36,-.44
1911,-.62,-.57,-.61,-.53,-.51,-.50,-.41,-.43,-.40,-.26,-.20,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.24,-.14,-.37,-.17,-.20,-.23,-.42,-.54,-.59,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.42,-.39,-.43,-.45,-.36,-.34,-.34,-.32,-.19,-.02,-.34,-.38,-.42,-.42,-.38,-.29
1914,.05,-.09,-.24,-.29,-.21,-.25,-.23,-.16,-.17,-.03,-.15,-.04,-.15,-.15,-.02,-.25,-.21,-.12
1915,-.20,-.03,-.10,.07,-.06,-.22,-.12,-.22,-.21,-.24,-.13,-.22,-.14,-.13,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.50,-.37,-.29,-.37,-.33,-.46,-.82,-.36,-.31,-.16,-.31,-.38,-.39
1917,-.58,-.63,-.64,-.55,-.55,-.44,-.25,-.22,-.23,-.44,-.33,-.67,-.46,-.47,-.68,-.58,-.30,-.33
1918,-.47,-.33,-.24,-.43,-.42,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.33,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.26,-.22,-.26,-.27,-.46,-.27,-.27,-.31,-.21,-.31,-.25
